home_team,away_team,home_team_goals,away_team_goals,home_team_age,away_team_age,date
Mozambique,Senegal,0,1,28.363636363636363,28.545454545454547,2023-03-28T16:00:00Z
Mozambique,Senegal,2,4,25.727272727272727,22.636363636363637,2022-07-17T13:30:00Z
Senegal,Malawi,4,0,26.272727272727273,26.09090909090909,2024-10-11T19:00:00Z
Malawi,Senegal,0,1,25.727272727272727,26.727272727272727,2024-10-15T13:00:00Z
Malawi,Senegal,0,0,26.0,29.90909090909091,2022-01-18T16:00:00Z
Senegal,DR Congo,1,1,29.0,28.454545454545453,2025-12-27T15:00:00Z
DR Congo,Senegal,2,3,28.636363636363637,28.363636363636363,2025-09-09T16:00:00Z
Senegal,DR Congo,1,1,27.636363636363637,28.454545454545453,2024-06-06T19:00:00Z
Senegal,DR Congo,3,0,22.363636363636363,28.0,2023-01-22T19:00:00Z
Algeria,Senegal,4,5,27.454545454545453,22.181818181818183,2023-02-04T19:30:00Z
Senegal,Algeria,0,1,27.90909090909091,28.0,2023-09-12T19:00:00Z
Algeria,Senegal,2,2,26.727272727272727,22.272727272727273,2022-12-17T17:30:00Z
Uganda,Senegal,0,1,25.363636363636363,22.0,2025-08-23T14:00:00Z
Senegal,Uganda,0,1,21.545454545454547,24.545454545454547,2023-01-18T19:00:00Z
Japan,Hong Kong,6,1,27.454545454545453,29.272727272727273,2025-07-08T10:24:00Z
Japan,Hong Kong,6,0,25.636363636363637,28.09090909090909,2022-07-19T10:20:00Z
Japan,Costa Rica,0,1,28.363636363636363,30.363636363636363,2022-11-27T10:00:00Z
Japan,Peru,4,1,27.272727272727273,30.818181818181817,2023-06-20T09:55:00Z
England,Japan,1,0,25.545454545454547,28.636363636363637,2026-03-31T18:45:00Z
Japan,China,2,0,25.454545454545453,26.363636363636363,2025-07-12T10:24:00Z
Japan,China,7,0,27.272727272727273,28.272727272727273,2024-09-05T10:35:00Z
China,Japan,3,1,26.90909090909091,26.454545454545453,2024-11-19T12:00:00Z
Japan,China,2,0,29.545454545454547,30.181818181818183,2022-01-27T10:00:00Z
Japan,China,0,0,26.818181818181817,24.09090909090909,2022-07-24T10:20:00Z
Japan,Saudi Arabia,0,0,26.181818181818183,25.636363636363637,2025-03-25T10:35:00Z
Saudi Arabia,Japan,2,0,27.272727272727273,27.727272727272727,2024-10-10T18:00:00Z
Japan,Saudi Arabia,2,0,29.545454545454547,28.09090909090909,2022-02-01T10:10:00Z
Japan,Ghana,2,0,26.818181818181817,24.181818181818183,2025-11-14T10:20:00Z
Japan,Ghana,4,1,28.09090909090909,27.363636363636363,2022-06-10T09:55:00Z
Japan,Bahrain,2,0,27.272727272727273,30.818181818181817,2025-03-20T10:35:00Z
Bahrain,Japan,3,1,29.636363636363637,26.0,2024-01-31T11:30:00Z
Bahrain,Japan,5,0,28.727272727272727,27.727272727272727,2024-09-10T16:00:00Z
Japan,Thailand,5,0,25.636363636363637,27.90909090909091,2024-01-01T05:00:00Z
Japan,Indonesia,6,0,25.545454545454547,26.545454545454547,2025-06-10T10:35:00Z
Japan,Indonesia,3,1,26.0,23.818181818181817,2024-01-24T11:30:00Z
Indonesia,Japan,4,0,25.0,27.09090909090909,2024-11-15T12:00:00Z
Japan,Tunisia,2,0,25.90909090909091,27.818181818181817,2023-10-17T10:10:00Z
Japan,Tunisia,0,3,28.90909090909091,27.09090909090909,2022-06-14T09:55:00Z
Iran,Japan,1,2,31.272727272727273,26.272727272727273,2024-02-03T11:30:00Z
Japan,North Korea,1,0,26.181818181818183,26.727272727272727,2024-03-21T10:23:00Z
Japan,Vietnam,4,2,27.09090909090909,25.636363636363637,2024-01-14T11:30:00Z
Japan,Vietnam,1,1,28.545454545454547,26.181818181818183,2022-03-29T10:35:00Z
Myanmar,Japan,5,0,25.0,27.09090909090909,2024-06-06T12:10:00Z
Japan,Myanmar,5,0,26.363636363636363,25.181818181818183,2023-11-16T10:00:00Z
Japan,Spain,2,1,28.272727272727273,24.90909090909091,2022-12-01T19:00:00Z
Japan,Uruguay,1,1,26.545454545454547,26.90909090909091,2023-03-24T10:30:00Z
Japan,Bolivia,3,0,28.09090909090909,23.0,2025-11-18T10:15:00Z
Mexico,Japan,0,0,28.454545454545453,27.363636363636363,2025-09-07T02:00:00Z
